wavelength_nm,usgs_aspen_green_reflectance,usgs_dry_grass_reflectance,usgs_sand_reflectance,usgs_seawater_reflectance,chemla_bchl_a_yf10_absorbance,chemla_smurfp_biliverdin_ecoli_absorbance,chemla_smurfp_biliverdin_pputida_absorbance
573.0,0.100768898,0.178434693,0.232993325,0.0238602897,0.0989974393,0.340639969,0.370126961
574.0,0.099155851,0.17913324,0.23347795,0.0237615304,0.0992555158,0.349148525,0.379842678
575.0,0.0976786553,0.179833117,0.233959055,0.0236639024,0.0997830862,0.357576561,0.388896829
576.0,0.096304219,0.180532454,0.23445768,0.0235643707,0.100608866,0.365743995,0.398038981
577.0,0.095003936,0.181228696,0.23495347,0.0234640233,0.101833186,0.373563147,0.40729874
578.0,0.0937674244,0.181916573,0.235408745,0.0233590082,0.103579972,0.381644033,0.415695556
579.0,0.092588805,0.18259016,0.23583485,0.0232519926,0.105536136,0.389781696,0.424041548
580.0,0.091466324,0.183245823,0.236269629,0.0231448195,0.107871535,0.397872765,0.433211736
581.0,0.0904148452,0.183889289,0.236731264,0.0230375789,0.110733181,0.405614544,0.441904244
582.0,0.0894534262,0.184528727,0.23721095,0.022935547,0.11404492,0.413057582,0.450188199
583.0,0.088596076,0.18517078,0.23770747,0.022835747,0.11756621,0.420774723,0.457528728
584.0,0.0878380993,0.185815786,0.238189194,0.0227412685,0.121038287,0.428088422,0.464764962
585.0,0.0871697021,0.186462593,0.238631319,0.0226490706,0.124330527,0.434294986,0.471972937
586.0,0.0865738269,0.187110421,0.239058977,0.0225550133,0.127812515,0.440845616,0.479064903
587.0,0.0860035697,0.187759674,0.239484616,0.0224601592,0.131382012,0.447571323,0.4860837
588.0,0.085404828,0.18841082,0.23989439,0.0223649955,0.134288825,0.453859955,0.492590841
589.0,0.0847477775,0.189064097,0.240259234,0.022269699,0.137219616,0.459773085,0.498682778
590.0,0.0841003716,0.18971766,0.240624121,0.022177023,0.140187597,0.465103807,0.504130724
591.0,0.0835551799,0.190369217,0.240998573,0.0220854699,0.141554169,0.470353849,0.509240182
592.0,0.0831771378,0.191017564,0.241373416,0.0220005053,0.142352404,0.475560048,0.514203258
593.0,0.082921741,0.191665257,0.241712883,0.0219183645,0.142706325,0.480644698,0.518901282
594.0,0.0827171607,0.192315783,0.242037527,0.0218430113,0.141718423,0.485813761,0.523841676
595.0,0.0825033994,0.19297188,0.24236645,0.0217705676,0.139404701,0.491066229,0.52902155
596.0,0.0822679817,0.193632707,0.242712833,0.021699511,0.136083988,0.495839189,0.533388361
597.0,0.082010388,0.19429663,0.2430433,0.0216290491,0.132242235,0.500424606,0.537730581
598.0,0.0817323071,0.194962077,0.243365543,0.0215658788,0.127242199,0.504645112,0.542358231
599.0,0.0814441533,0.195628313,0.243687677,0.0215058342,0.122199174,0.50911797,0.547021839
600.0,0.0811585167,0.196294707,0.244016563,0.0214528267,0.117129238,0.513748805,0.551707957
601.0,0.0808802868,0.196960513,0.244343087,0.0214028356,0.110493957,0.518274129,0.556482663
602.0,0.080583632,0.19762404,0.24464732,0.0213563304,0.103676867,0.52284876,0.561025378
603.0,0.0802349858,0.198283347,0.244919243,0.0213126455,0.0965710911,0.527515295,0.565146148
604.0,0.0798103814,0.198936659,0.245197078,0.0212746372,0.0895000457,0.532396595,0.569730364
605.0,0.0793237257,0.199582917,0.245456495,0.0212444077,0.0825116466,0.537267872,0.574449971
606.0,0.0787983443,0.200221314,0.245697688,0.0212175357,0.0761712149,0.541295082,0.578809854
607.0,0.0782541204,0.200851726,0.245946142,0.0211908753,0.0694949844,0.545920749,0.583237509
608.0,0.0776971017,0.201477282,0.246188745,0.0211623057,0.062437034,0.551226716,0.587742202
609.0,0.077129716,0.202101901,0.246426233,0.0211318262,0.0558508069,0.557014262,0.592435384
